Need,Tele
sv_FirstGetToken,Or_BefitFarGoods
Has,Pul
Rate,Mask
HasShowRatePanel,PulBindMaskSwear
sv_HasShowRatePanel,Or_PulBindMaskSwear
Lottery,Octopus
CumulativeLottery,GenerationOctopus
sv_CumulativeLottery,Or_GenerationOctopus
Already,Pretend
Pass,High
Levels,Member
AlreadyPassLevels,PretendPassMember
sv_AlreadyPassLevels,Or_PretendPassMember
NewUserStepFinish,GunPorkBoatJobber
sv_NewUserStepFinish,Or_GunPorkBoatJobber
task,Jolt
level,Weave
count,Slice
sv_task_level_count,Or_Jolt_Weave_Slice
FirstSlot,BefitDish
sv_FirstSlot,Or_BefitDish
Adid,Yawn
AdjustAdid,ShroudYawn
sv_AdjustAdid,Or_ShroudYawn
trial,First
num,Toy
sv_ad_trial_num,Or_It_First_Toy
total,March
sv_total_ad_num,Or_March_It_Toy
mg,We
Window,Fluffy
Open,Plus
WindowOpen,FluffyPlus
mg_WindowOpen,We_FluffyPlus
Close,First
WindowClose,FluffyClose
mg_WindowClose,We_FluffyClose
ui,Me
levelcomplete,Inconsistency
mg_ui_levelcomplete,We_ui_Inconsistency
addgold,Miocene
mg_ui_addgold,We_Me_Miocene
addtoken,Tapestry
mg_ui_addtoken,We_Me_Tapestry
addamazon,Partition
mg_ui_addamazon,We_Me_Partition
Suspend,Distant
GameSuspend,KickDistant
mg_GameSuspend,We_KickDistant
Change,Uranus
ItemChange,AfarUranus
mg_ItemChange_,We_AfarUranus_
Activity,Colonize
State,Widow
ActivityStateChange,ColonizeWidowUranus
mg_ActivityStateChange_,We_ColonizeWidowUranus_
LevelMaxLevelChange,DodgeGelDodgeUranus
mg_LevelMaxLevelChange,We_DodgeGelDodgeUranus
path,Dirt
path_GoldCoin_Sprite,Dirt_CastSlit_Review
Dimond,Mosaic
path_Token_Sprite_Dimond,Dirt_Goods_Review_Mosaic
TIMEOUT,TIMEOUT
Base,Snow
BaseUrl,SnowPit
BaseLoginUrl,SnowBlessPit
BaseConfigUrl,SnowAdjoinPit
BaseTimeUrl,SnowMoldPit
BaseAdjustUrl,SnowShroudPit
Code,Read
GameCode,KickRead
Channel,Pronoun
country,License
ConfigData,AdjoinLine
InitData,DeafLine
GameData,KickLine
_GameData,_KickLine
Manager,Rancher
adManager,ItRancher
gaid,Chop
aid,Jet
idfa,Cure
ready_count,Amino_Slice
From,Duke
DataFrom,LineDuke
CheckCount,CigarWaist
Tracker,Distend
TrackerName,DistendStew
Event_TrackerName,Inuit_DistendStew
Ok,If
CheckOk,CigarIf
_CheckOk,_CigarIf
Str,Sow
UserDataStr,PorkLineSow
UserData,PorkLine
GetUserInfoCount,FarPorkBoldWaist
text,Cane
GetSuccess,FarDepress
Fail,Gobi
GetFail,FarGobi
DEFAULT,DEFAULT
DEFAULT_TIMEOUT,DEFAULT_TIMEOUT
RETRY,RETRY
COUNT,COUNT
MAX_RETRY_COUNT,MAX_RETRY_COUNT
INTERVAL,INTERVAL
RETRY_INTERVAL,RETRY_INTERVAL
request,Amplify
Tasks,Milky
requestTasks,AmplifyMilky
Net,Toe
Work,Keel
NetWorkGetList,ToeWorkFarTrip
Post,Whim
NetWorkPostList,ToeKeelWhimTrip
URL,URL
Form,Mode
PostSuccess,WhimDepress
PostFail,WhimGobi
targetImage,PotatoFifth
corners,Flaming
Offset,Friend
targetOffsetX,PotatoFriendX
targetOffsetY,PotatoFriendY
material,Initiate
currentOffsetX,MortiseFriendX
currentOffsetY,MortiseFriendY
shrink,Prompt
shrinkTime,PromptMold
event,Piece
Penetrate,Operation
eventPenetrate,PieceOperation
targetWidth,PotatoAgree
targetHeight,PotatoMilieu
Velocity,Quantity
shrinkVelocityX,PromptQuantityX
shrinkVelocityY,PromptQuantityY
center,Barter
Pool,Kind
PoolQueue,KindClump
m_PoolQueue,m_KindClump
PoolName,KindStew
m_PoolName,m_KindStew
m_Parent,m_Quasar
prefab,Sweaty
m_MaxCount,m_GelWaist
Default,Florist
DefaultMaxCount,FloristGelWaist
m_DefaultMaxCount,m_FloristGelWaist
Dic,Hit
PoolDic,KindHit
m_PoolDic,m_KindHit
Root,Root
RootTransform,RootSkeptical
m_RootTransform,m_RootSkeptical
Toast,Groom
ToastText,GroomMoss
need,Them
Refresh,Balcony
needStartRefresh,ThemBadgeBalcony
Adjust_TrackerName,Shroud_DistendStew
AP,AP
Save_AP,Shed_AP
Normal,Recess
Mode,Belt
NormalModeName,RecessBeltStew
Distances,Trumpeter
Reason,Tethys
Log,Wax
StepLog,BoatWax
NumText,LadMoss
Clock,Diver
ClockText,DiverMoss
countdown,Imitation
CloseButton,FirstGibbon
Gift,Whip
GiftItems,WhipRural
Un,If
UnGet,UnFar
Claimed,Counsel
Current,Voyager
ClaimedIcon,CounselPart
ClaimedNum,CounselLad
Collect,Dynamic
CollectButton,DynamicGibbon
Day,Tip
DayIndex,TipDodge
CollectItemPrefab,DynamicAfarQuiver
Rewards,Britain
Container,Attention
RewardsContainer,BritainAttention
GetButton,FarGibbon
Lock,Bent
LockIcon,BentPart
PriceText,BreadMoss
ItemBG,AfarBG
itemDB,SealDB
Locked,Sample
isLocked,BySample
CloseBtn,FirstGem
Endless,Quitter
EndlessItemPrefab,QuitterAfarQuiver
endless,Airport
endlessItemList,AirportAfarTrip
uiIndex,MeDodge
Progress,Maneuver
Bar,Man
ProgressBar,ManeuverMan
RewardIcon,StarvePart
box,Leg
Health,Wander
HealthNumText,WanderLadMoss
Countdown,Foodstuff
HealthCountdownText,WanderFoodstuffMoss
GoldBar,CastMan
Diamond,Magenta
DiamondBar,MagentaMan
HealthBar,WanderMan
PlayButton,HaulGibbon
resource,Ironwork
resourceType,IronworkJoke
AutoChange,TautUranus
old,End
oldNum,EndLad
Active,Refute
Color,Eager
ActiveBgColor,RefuteHeEager
DefaultBgColor,FloristHeEager
ActiveTextColor,RefuteMossEager
DefaultTextColor,FloristMossEager
Ranking,Livable
RankingText,LivableMoss
Avatar,Purify
UserName,PorkStew
Resource,Overhead
ResourceBar,OverheadMan
ResourceImage,OverheadFifth
ResourceText,OverheadMoss
RewardButton,StarveGibbon
Rank,Love
RankSprites,LoveOutflow
RewardSprites,StarveOutflow
Canvas,Grotto
RewardCanvas,StarveCanvas
RewardContainer,StarveAttention
RankRewardPrefab,LoveStarveQuiver
RankItemPrefab,LoveAfarQuiver
RankItemContainer,LoveAfarAttention
Claim,Wrong
ClaimButton,WrongGibbon
My,He
MyRankItem,MyLoveAfar
Main,Limy
RankId,LoveAt
RankItemHeight,LoveAfarMilieu
rank,Hail
rankItems,HailRural
lastRankIndex,FeedLoveDodge
Buy,Hot
BuyButton,HotGibbon
Title,Delft
RewardCount,StarveWaist
BuyIcon,HotPart
BuyButtonText,HotGibbonMoss
Content,Totally
RewardItemContent,StarveAfarTotally
Tag,But
TipTag,MayBut
Discount,Reappear
DiscountTag,ReappearBut
DiscountText,ReappearMoss
shop,Pont
shopPanel,PontSwear
single,Dollar
singleMode,DollarBelt
Shop,Soda
ShopItems,SodaRural
ItemIcon,AfarPart
ItemNum,AfarLad
AdjustAdidText,ShroudYawnMoss
ServerIdText,FleshyAtMoss
Act,Ice
ActCounterText,IceShudderMoss
AdjustTypeText,ShroudJokeMoss
Reset,Burst
ResetActCountButton,BurstIceWaistGibbon
AddActCountButton,PegIceWaistGibbon
LastPlayTimeCounterText,BulkHaulMoldShudderMoss
Counter101Text,Shudder101Moss
Counter102Text,Shudder102Moss
Counter103Text,Shudder103Moss
Trial,Rally
TrialNumText,RallyLadMoss
PlayRewardedAdButton,HaulComputerItGibbon
PlayInterstitialAdButton,HaulExpansionistItGibbon
No,If
Thanks,Corona
NoThanksButton,NoCoronaGibbon
TrialNumButton,RallyLadGibbon
TimeInterstitialText,MoldExpansionistMoss
PauseTimeInterstitialButton,CaputMoldExpansionistGibbon
Resume,Repute
ResumeTimeInterstitialButton,ReputeMoldExpansionistGibbon
msgs,Nose
daily,Vogue
Gifts,Storm
dailyGifts,dailyStorm
Treasures,Statuette
endlessTreasures,AirportStatuette
currentIndex,MortiseDodge
Attend,Lordly
Times,Brook
currentAttendTimes,MortiseLordlyBrook
ShopId,SodaAt
boxes,Enemy
Update,Solder
lastUpdateTime,FeedSolderMold
unlimited,Celebrity
unlimitedTime,CelebrityMold
Groups,Modern
itemGroups,SealModern
levelDic,WeaveHit
currentLevelIndex,MortiseDodgeDodge
max,Wee
maxLevelIndex,WeeDodgeDodge
health,Carpet
Cost,Some
healthCost,CarpetSome
ranks,Hypha
user,They
userNames,TheyProse
shops,Glean
shopDict,PontMate
skins,Brave
skin,Dash
skinDict,DashMate
Types,Carve
skinTypes,DashTypes
active,Cavern
Skin,Moat
activeSkin,CavernMoat
attend,Rotate
attendTimes,RotateBrook
period,Offset
periodStartTime,OffsetBadgeMold
End,Rid
periodEndTime,OffsetRidMold
data,Mark
boxLevelData,LegDodgeLine
currentValue,MortiseDodge
Lv,My
currentLv,MortiseMy
currentProgress,MortiseManeuver
type,Mode
value_type,Noble_type
comment,Willing
icon,Gram
default,Contend
defaultValue,ContendDodge
min,Lid
minValue,LidDodge
maxValue,WeeDodge
id,To
item_id,Seal_To
item_num,Seal_Toy
itemgroup,Infantile
itemgroup_id,Infantile_To
gp,Be
pid,Bid
gp_pid,gp_Bid
ios,May
ios_pid,ios_Bid
shop_icon,Pont_Gram
title,Price
purchase,Nobility
purchase_type,Nobility_Mode
price,Guest
show,Open
is_show,By_show
box_id,Leg_To
exp,Use
key,Fix
exp_key,Use_Fix
exp_value,Use_Noble
item_value,Seal_Noble
skin_type,Dash_Mode
unlock,Abound
unlock_type,Abound_Mode
unlock_value,Abound_Noble
unlock_level,Abound_Weave
start,Ahead
start_time,Ahead_Copy
duration,Bacteria
phases,Canvas
start_type,Ahead_Mode
panel,Hilly
auto,Seep
settlement,Cincinnati
auto_settlement,Seep_Cincinnati
overlap,Romance
open,Urge
auto_open_time,Seep_Urge_Copy
priority,Fanciful
auto_open_priority,Seep_Urge_Fanciful
day,Jaw
shop_id,Pont_To
rank_id,Hail_To
activity,Northern
activity_id,Northern_To
item_num_type,Seal_Toy_Mode
clear,Logic
clear_item,Logic_Seal
ranking,Undergo
max_ranking,Wee_Undergo
min_rank,Lid_Hail
max_rank,Wee_Hail
_Icon,_Part
score,Today
startTimes,AheadBrook
victory,Balcony
victoryTimes,victoryBrook
_data,_Mark
rewards,Dynamic
Indexes,Slavery
rewardIndexes,ValleySlavery
my,Me
myRank,myLove
itemNum,SealLad
users,Climb
myRanking,MeLivable
locked,Radium
avatar,Source
userName,TheyStew
currentNum,MortiseLad
actived,Speaker
gameSetting,AbutGradual
itemGroup,SealPerry
Box,Tug
expBox,UseTug
App,Gut
AppSetting,GutGradual
_AppSetting,_GutGradual
SYS,SYS
PATH,PATH
CANVAS,CANVAS
SYS_PATH_CANVAS,SYS_PATH_CANVAS
UIFORMS,UIFORMS
CONFIG,CONFIG
INFO,INFO
SYS_PATH_UIFORMS_CONFIG_INFO,SYS_PATH_UIFORMS_CONFIG_INFO
TAG,TAG
SYS_TAG_CANVAS,SYS_TAG_CANVAS
NORMAL,NORMAL
NODE,NODE
SYS_NORMAL_NODE,SYS_NORMAL_NODE
FIXED,FIXED
SYS_FIXED_NODE,SYS_FIXED_NODE
POPUP,POPUP
SYS_POPUP_NODE,SYS_POPUP_NODE
TOP,TOP
SYS_TOP_NODE,SYS_TOP_NODE
SCRIPTMANAGER,SCRIPTMANAGER
SYS_SCRIPTMANAGER_NODE,SYS_SCRIPTMANAGER_NODE
UICAMERA,UICAMERA
SYS_UICAMERA_NODE,SYS_UICAMERA_NODE
on,My
Click,Sully
onClick,onSully
onDown,MyPink
Enter,Craft
onEnter,MyCraft
Exit,Fish
onExit,MyFish
onUp,MyOf
Select,Rejoin
onSelect,MyRejoin
onUpdateSelect,MySolderRejoin
dic,May
Messages,Unsettle
dicMessages,dicUnsettle
_dicMessages,_dicUnsettle
_Key,_Can
Values,Closet
_Values,_Closet
Instance,Befriend
_Instance,_Befriend
ht,To
Go,So
GoCanvasRoot,SoGrottoRoot
_GoCanvasRoot,_SoGrottoRoot
Tra,Gar
Scripts,Flatter
Node,Whig
TraUIScriptsNode,GarUIFlatterWhig
_TraUIScriptsNode,_GarUIFlatterWhig
GoToPanel,SoBeSwear
_GoToPanel,_SoBeSwear
GoMaskPanel,SoVerbSwear
_GoMaskPanel,_SoVerbSwear
UICamera,UIDecade
_UICamera,_UIDecade
Original,Thorough
Depth,Ranch
OriginalUICameraDepth,ThoroughUIDecadeRanch
_OriginalUICameraDepth,_ThoroughUIDecadeRanch
Instatnce,Sugarlike
_Instatnce,_Sugarlike
Lauguage,Analysis
Cache,Draft
DicLauguageCache,HitAnalysisDraft
_DicLauguageCache,_HitAnalysisDraft
CurrentUIType,VoyagerUIJoke
_CurrentUIType,_VoyagerUIJoke
close,Stuff
button,Notice
close_button,Stuff_Notice
MainCanvas,LimyGrotto
Forms,Place
Paths,Field
DicFormsPaths,HitPlaceField
_DicFormsPaths,_HitPlaceField
